portal,profile,status,title,company,location,url,discovered_at,gate_score,gate_reason,application_method,region,last_error
indeed,it,queued,Software Development Engineer in Test II (SDET II),Best Buy,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=4dc553f0a3adab9f,2026-07-13 01:06:09.869000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Infrastructure and Environments (BASIS) Analyst,Teck Resources Limited,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=57f5095bcbc1499a,2026-07-13 01:06:09.717000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,QA Specialist,QHR Technologies,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=45623ab53407388b,2026-07-13 01:06:09.713000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,QA Analyst - Intermediate,Insurance Corporation of British Columbia,"North Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=54505aa2d6385411,2026-07-13 01:06:09.688000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Systems Administrator,Dawson Group,"Remote, CA",https://ca.indeed.com/viewjob?jk=0479089b2f554a65,2026-07-12 22:55:47.234000,85,IT target role,easy_apply,OTHER,
indeed,it,queued,QA Engineer – AI Augmented,CodeHire Global Solutions,"Remote, CA",https://ca.indeed.com/viewjob?jk=8e199b4672679d02,2026-07-11 06:26:20.281000,85,IT target role,easy_apply,OTHER,outside_metro_remote_easy_apply
indeed,it,queued,Clinical IT Business Analyst with EPIC & STORK exp. || REMOTE job.,,"Remote, CA",https://ca.indeed.com/viewjob?jk=57db8900780bec79,2026-07-11 06:25:47.317000,85,IT target role,easy_apply,OTHER,outside_metro_remote_easy_apply
indeed,it,queued,Undergraduate Co-op Student – Software Engineer – Large Molecule Discovery - Technology,Amgen,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=a42487bde6f1ee6f,2026-07-11 06:25:47.285000,85,IT target role,unverified,METRO_VAN,metro_van_apply_type_unverified_route_to_verification
indeed,it,queued,Operations Data Analyst,MDA,"Richmond, BC, CA",https://ca.indeed.com/viewjob?jk=20ac392c74fa9737,2026-07-11 06:24:39.850000,85,IT target role,unverified,METRO_VAN,metro_van_apply_type_unverified_route_to_verification
indeed,it,queued,IT Coordinator,RAM,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=3f9c63d75187914f,2026-07-11 02:39:47.174000,85,IT target role,easy_apply,METRO_VAN,metro_van_easy_apply
