portal,profile,status,title,company,location,url,discovered_at,gate_score,gate_reason,application_method,region,last_error
indeed,it,queued,"Intern, Co-Op",Synopsys,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=78e7fd9e6193f1b9,2026-07-13 01:06:14.550000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,"Software Development Engineer, Charge Calc",Amazon.com,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=4cb737ef6f80b937,2026-07-13 01:06:14.545000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Frontend Engineer - AI Products,iCOUNTER,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=fef3d5e37617123b,2026-07-13 01:06:14.540000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,"Digital Technology - Senior Developer / Developer, Front-end",Aritzia,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=374fe70e1b567783,2026-07-13 01:06:14.536000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,"Supervisor, Application Development",Seaspan ULC,"North Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=3f92c892b7990c22,2026-07-13 01:06:14.530000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,"Sr. Software Development Engineer, Alexa Connections",Amazon.com,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=933ed075ab49ffaf,2026-07-13 01:06:14.525000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"Software Development Engineer, Alexa Connections",Amazon.com,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=295618ee6e4836b8,2026-07-13 01:06:14.520000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,CNC Busbar Fabrication Operator & Programmer,thyssenkrupp Materials CA,"Port Coquitlam, BC, CA",https://ca.indeed.com/viewjob?jk=2d80fb76f97b03ce,2026-07-13 01:06:14.515000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,"Expression of Interest - Sr. Software Engineer, USD Authoring",The Walt Disney Studios,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=fabe8180941d105b,2026-07-13 01:06:14.509000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Cloud Security Developer,Fortinet,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=ad1ea223fe7daf11,2026-07-13 01:06:14.505000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,"Research Developer (Applied AI), On-Device Inference Program",Electronic Arts,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=7b0cdb3841630cad,2026-07-13 01:06:14.500000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,"AI/ML Developer, IT",Canaccord Genuity Corp.,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=99c63b27036dcf17,2026-07-13 01:06:14.496000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,Senior Full-Stack Developer - Analytics,Teck Resources Limited,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=dc332a1694e1a2a7,2026-07-13 01:06:14.491000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Mozaik Programmer (Cabinetmaking),Sharana Millwork Designs Ltd.,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=d4173d74c8994078,2026-07-13 01:06:14.486000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Front-End Developer,Norsat International Inc.,"Richmond, BC, CA",https://ca.indeed.com/viewjob?jk=96f5a4f9f1510dc1,2026-07-13 01:06:14.481000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,"Sales Representative (Squamish, BC)",Anthem Properties,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=e145e3ddd07d787c,2026-07-13 01:06:14.477000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,"Beauty Specialist, Hourly Part Time Evening",Shoppers Drug Mart,"North Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=5f4342a1b765ab13,2026-07-13 01:06:14.471000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Part Time Product Specialist,Skechers,"Surrey, BC, CA",https://ca.indeed.com/viewjob?jk=444abfbac2555542,2026-07-13 01:06:14.465000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,"Specialist, Marketing - River Rock Casino Resort",Lahal Management LP,"Richmond, BC, CA",https://ca.indeed.com/viewjob?jk=f4ea287aef845342,2026-07-13 01:06:14.459000,100,hard gate: eligible IT listing,easy_apply,METRO_VAN,
indeed,it,queued,Marketing and Communications Project Manager,Better Business Bureau,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=26d79b5c7def16ae,2026-07-13 01:06:14.451000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,Human Resources Business Partner,Kwantlen Polytechnic University,"Langley, BC, CA",https://ca.indeed.com/viewjob?jk=00b0a01ca816a3df,2026-07-13 01:06:14.445000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,"Senior People & Organization Business Partner, for COWI in North America",COWI,"North Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=2df926364d14788b,2026-07-13 01:06:14.440000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,HR Generalist,Axis Insurance Managers Inc.,"Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=13d82a467e35bbe4,2026-07-13 01:06:14.436000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
indeed,it,queued,Human Resoures Generalist,Vancouver Pile Driving ltd,"North Vancouver, BC, CA",https://ca.indeed.com/viewjob?jk=8c0ed3286a95f599,2026-07-13 01:06:14.431000,100,hard gate: eligible IT listing,unverified,METRO_VAN,
indeed,it,queued,HR Operations and Transformation Partner,ConeTec Group,"Burnaby, BC, CA",https://ca.indeed.com/viewjob?jk=027790d4f07ecd21,2026-07-13 01:06:14.426000,100,hard gate: eligible IT listing,company_site,METRO_VAN,
